,song_title,artists,song_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time signature
30,Jean Is Dead,['Descendents'],spotify:track:2kUxi7tRDgprqqJrGE3SDR,0.221,0.931,7.0,-8.293,1.0,0.0683,0.00038,0.0,0.314,0.369,185.702,93840.0,4.0
31,I Like Food,['Descendents'],spotify:track:0CFpUT7nPC6lsXZgeoPrmz,0.541,0.905,5.0,-8.6,1.0,0.0923,0.000464,0.0,0.286,0.565,101.17,17227.0,4.0
32,Ruby Soho,['Rancid'],spotify:track:1pNlZQeoPnlxqf1Mjgm0H2,0.505,0.938,7.0,-5.381,1.0,0.0432,0.0201,0.00218,0.177,0.961,161.842,157533.0,4.0
33,Olympia WA,['Rancid'],spotify:track:0TE5Q3XEPkEfmyNtr47wWa,0.423,0.959,7.0,-4.613,1.0,0.107,0.0448,0.0,0.347,0.643,166.919,210627.0,4.0
34,Roots Radical,['Rancid'],spotify:track:0LWkdUtorgGHr1bwT2C6tY,0.529,0.976,0.0,-4.978,1.0,0.108,0.0836,0.0,0.213,0.722,161.928,167507.0,3.0
35,Knowledge,['Operation Ivy'],spotify:track:1dTnIwiaP8DU21LuW2P1L5,0.42,0.947,5.0,-4.269,1.0,0.119,0.262,6.52e-05,0.416,0.51,92.027,102107.0,4.0
36,Indestructible,['Rancid'],spotify:track:6akNPd4acqhnBn86tEsfAb,0.39,0.985,9.0,-0.699,1.0,0.152,0.0113,0.0,0.387,0.721,161.451,96584.0,4.0
37,Otherside,['Rancid'],spotify:track:3PpjYB6WKDcyBZr14p8siq,0.393,0.98,4.0,-2.265,1.0,0.118,5.86e-05,3.53e-06,0.116,0.486,161.237,112942.0,4.0
38,The 11th Hour,['Rancid'],spotify:track:4ql37DQAaODZv76OjGe6cb,0.457,0.955,0.0,-5.395,1.0,0.131,0.00367,4.9e-06,0.324,0.641,170.192,148027.0,4.0
39,Listed MIA,['Rancid'],spotify:track:3AfGYzuFZaduOllHad2BKs,0.404,0.979,11.0,-5.103,1.0,0.0765,0.00432,0.00189,0.0775,0.781,168.076,142467.0,4.0
40,Journey to the End of the East Bay,['Rancid'],spotify:track:301rOc8VF34Op3NhRfYcus,0.479,0.929,0.0,-6.869,1.0,0.0683,0.00369,5.62e-05,0.198,0.582,170.13,191600.0,4.0
41,Avenues & Alleyways,['Rancid'],spotify:track:6j1hfccPtEYVbqB1w4pLaU,0.36,0.974,7.0,-4.641,1.0,0.115,0.0149,1.82e-06,0.175,0.304,164.607,191867.0,4.0
42,The Way I Feel,['Rancid'],spotify:track:1Z9es2QCu4rOjbuXQN5LP1,0.433,0.985,0.0,-4.625,1.0,0.116,0.000508,4.01e-05,0.0605,0.488,139.732,154227.0,4.0
43,Symmetry,['Title Fight'],spotify:track:5KCCp38FoXsNWZ4yyvjYmr,0.43,0.967,6.0,-6.053,1.0,0.105,4.07e-06,0.00451,0.206,0.51,94.95,134293.0,4.0
44,Radio,['Rancid'],spotify:track:6tlRgNME7ULlY5OcvRdgYn,0.429,0.843,7.0,-9.465,1.0,0.0616,0.00795,0.000345,0.168,0.723,127.848,171333.0,4.0
45,I Believe in Goddess,['NOFX'],spotify:track:7K9QY042GZM4UFn2L6oyWP,0.396,0.927,4.0,-5.167,0.0,0.0616,0.00374,0.00755,0.0951,0.619,114.418,94760.0,4.0
