,song_title,artists,song_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time signature
2690,Mask Off (feat. Kendrick Lamar) - Remix,"['Future', 'Kendrick Lamar']",spotify:track:6DB2KOEwHnjkgEnBt5SdeJ,0.785,0.476,1.0,-9.805,1.0,0.115,0.115,0.00165,0.092,0.223,118.931,227560.0,4.0
2691,Stay Blessed,['Bryson Tiller'],spotify:track:6dxU7Xf9j2yNI7aCcT8W1g,0.89,0.504,8.0,-5.444,0.0,0.123,0.023,0.0,0.123,0.222,129.969,213613.0,4.0
2692,I'm so Groovy,['Future'],spotify:track:4lozYCMRLtEc46exlhoK2Q,0.632,0.629,2.0,-5.935,1.0,0.258,0.183,0.0,0.344,0.207,179.882,254508.0,4.0
2693,Magnolia,['Playboi Carti'],spotify:track:4gUQE7JiIwnQKde4RtKytB,0.896,0.513,8.0,-6.542,1.0,0.199,0.112,0.0,0.104,0.296,133.973,244093.0,4.0
2694,GOLD,['BROCKHAMPTON'],spotify:track:7HRv1sYuwgoea1m0JRvChV,0.816,0.809,2.0,-5.566,1.0,0.282,0.00571,0.0,0.132,0.526,181.978,192132.0,4.0
2695,Lil Bit,['K CAMP'],spotify:track:1nnUYqFuaect86PxXkuniN,0.715,0.62,5.0,-5.428,0.0,0.0507,0.0322,0.0142,0.0881,0.456,96.812,235540.0,4.0
2696,Gyalchester,['Drake'],spotify:track:2ExePm1EBdSJkr4Y4Nc50z,0.909,0.546,8.0,-7.513,1.0,0.175,0.000704,0.000823,0.36,0.0986,138.043,224613.0,4.0
2697,Heebiejeebies,"['Aminé', 'Kehlani']",spotify:track:222uodW6TJqbF9tWADRG2E,0.782,0.5,5.0,-6.473,0.0,0.0611,0.342,2.05e-05,0.133,0.281,102.001,173611.0,4.0
2698,No Heart,"['21 Savage', 'Metro Boomin']",spotify:track:4gmmRb6bZJffOOiww1JGTO,0.661,0.576,5.0,-8.987,0.0,0.202,0.0962,3.15e-06,0.188,0.188,95.187,249680.0,4.0
2699,DNA.,['Kendrick Lamar'],spotify:track:4cGeMgLcykDLAazHFpbZbU,0.755,0.448,7.0,-9.587,1.0,0.107,0.0283,3.28e-05,0.514,0.318,77.179,198960.0,4.0
2700,Free Smoke,['Drake'],spotify:track:3LBBQH0CWnrG3kSvSmzArK,0.643,0.766,0.0,-6.141,0.0,0.425,0.843,3.14e-06,0.228,0.54,131.001,275298.0,4.0
2701,Gang Related,['Logic'],spotify:track:2V9PUeMojJ4Qa878Dxt4l2,0.69,0.868,1.0,-2.479,0.0,0.266,0.0762,0.0,0.413,0.321,134.513,334896.0,4.0
2702,Mr.Sandman,['Baby Soulja'],spotify:track:6Scq5YZlsCpXxLTLruiqbt,0.797,0.533,0.0,-9.74,0.0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520.0,4.0
2703,Hot N*gga,['Bobby Shmurda'],spotify:track:19gEmPjfqSZT0ulDRfjl0m,0.921,0.467,1.0,-8.443,1.0,0.119,0.0149,0.000238,0.334,0.287,135.995,191252.0,4.0
2704,Nomadic,"['Higher Brothers', 'Joji']",spotify:track:76kp9yG6NozfRIJMIxNSlI,0.867,0.663,10.0,-5.838,0.0,0.178,0.443,0.0,0.117,0.481,121.978,219733.0,4.0
2705,Why You Always Hatin?,"['YG', 'Drake', 'Kamaiyah']",spotify:track:2tlkU66loXhmV2JqTHlz5T,0.384,0.821,8.0,-2.83,0.0,0.0948,0.158,0.0,0.137,0.244,121.108,256163.0,4.0
2706,"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)","['A$AP Mob', 'A$AP Rocky', 'Playboi Carti', 'Quavo', 'Lil Uzi Vert', 'Frank Ocean']",spotify:track:6kl1qtQXQsFiIWRBK24Cfp,0.365,0.751,2.0,-5.429,1.0,0.304,0.000707,0.0,0.318,0.604,79.119,248587.0,4.0
2707,NAVUZIMETRO#PT2,"['NAV', 'Metro Boomin', 'Lil Uzi Vert']",spotify:track:0oibLPfL2AGkpLKEcSTeVO,0.542,0.914,0.0,-4.747,0.0,0.113,0.0161,0.0,0.744,0.576,153.993,292093.0,4.0
2708,Am I Wrong (feat. ScHoolboy Q),"['Anderson .Paak', 'ScHoolboy Q']",spotify:track:2kDL9xAqKwvbLvB0SzPOQL,0.88,0.428,9.0,-8.28,1.0,0.206,0.149,5.07e-05,0.114,0.333,100.007,172800.0,4.0
2709,Stand Back,"['PnB Rock', 'A Boogie Wit da Hoodie']",spotify:track:31zWMuu0kpLt3UzfD5rKjZ,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,166568.0,4.0
2710,Who Dat Boy (feat. A$AP Rocky),"['Tyler, The Creator', 'A$AP Rocky']",spotify:track:21yRtB6B8EMounImAfHRCP,0.619,0.798,11.0,-5.517,0.0,0.381,0.168,0.0,0.17,0.71,156.151,173693.0,4.0
2711,No Flex Zone,['Rae Sremmurd'],spotify:track:2L8cFPItBljPNJgPjTnuIf,0.777,0.57,1.0,-6.833,1.0,0.0472,0.0869,0.0,0.121,0.321,139.993,219480.0,4.0
2712,No Complaints,"['Metro Boomin', 'Offset', 'Drake']",spotify:track:6kig1UFggPUyZBCvXD3Wod,0.748,0.546,8.0,-8.134,1.0,0.106,0.59,0.0,0.112,0.413,140.005,220880.0,4.0
2713,Water,['Ugly God'],spotify:track:7EoSDrwBPUBeBEORrpvgko,0.667,0.723,5.0,-4.31,0.0,0.27,0.0455,0.000193,0.213,0.251,148.058,153475.0,4.0
2714,Rolex,['Ayo & Teo'],spotify:track:0pSBuHjILhNEo55xK1zrRt,0.777,0.657,1.0,-6.434,1.0,0.237,0.000738,3.34e-06,0.0932,0.245,189.992,226107.0,4.0
2715,Audi.,['Smokepurpp'],spotify:track:0e6ePgye47L0Q9slHJ1jnf,0.921,0.537,9.0,-5.723,0.0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090.0,4.0
2716,Bodak Yellow,['Cardi B'],spotify:track:2771LMNxwf62FTAdpJMQfM,0.743,0.562,11.0,-8.154,1.0,0.301,0.14,0.0,0.11,0.437,172.049,186853.0,4.0
2717,Neon Guts (feat. Pharrell Williams),"['Lil Uzi Vert', 'Pharrell Williams']",spotify:track:1MJErNPIQUoEMu4YUUmecm,0.733,0.678,6.0,-7.771,1.0,0.439,0.121,0.0,0.345,0.841,175.984,144149.0,4.0
2718,Ooh Kill Em,['Meek Mill'],spotify:track:58uswkEoUjZcu2jmQhSyfo,0.909,0.631,9.0,-5.447,1.0,0.205,0.0717,0.0,0.108,0.394,145.968,276147.0,4.0
2719,Bank Account,['21 Savage'],spotify:track:5eqK0tbzUPo2SoeZsov04s,0.589,0.57,1.0,-9.54,1.0,0.361,0.0456,1.51e-06,0.137,0.441,136.203,151027.0,4.0
2720,Me You,['Russ'],spotify:track:4f1QbCjIAgQwnf7ms9NXWx,0.886,0.473,7.0,-7.338,0.0,0.255,0.27,2.58e-05,0.0864,0.438,135.065,200205.0,4.0
2721,Everybody Dies In Their Nightmares,['XXXTENTACION'],spotify:track:3GVkPk8mqxz0itaAriG1L7,0.823,0.783,0.0,-6.274,1.0,0.154,0.21,0.0,0.113,0.199,141.882,191437.0,4.0
2722,rockstar,"['Post Malone', '21 Savage']",spotify:track:7wGoVu4Dady5GV0Sv4UIsx,0.934,0.505,11.0,-7.648,1.0,0.168,0.0229,0.0,0.0867,0.691,139.93,181714.0,4.0
2723,Nigga Needs,['WESTSIDE BOOGIE'],spotify:track:1fhUnRon5MKdWE6IM0kSmR,0.652,0.678,2.0,-6.183,1.0,0.0541,0.183,3.26e-05,0.106,0.28,72.989,263014.0,4.0
2724,Gucci Gang,['Lil Pump'],spotify:track:6foxplXS0YEq8cO374Lty4,0.687,0.587,1.0,-5.772,0.0,0.124,0.302,0.0,0.278,0.676,156.575,193094.0,4.0
2725,Boss,['Lil Pump'],spotify:track:4CHp6dRZTeFAu4bSOxfH7Y,0.738,0.824,5.0,-5.165,0.0,0.0437,0.15,0.0,0.132,0.386,138.039,204360.0,4.0
2726,Lord Pretty Flacko Jodye 2 (LPFJ2),['A$AP Rocky'],spotify:track:1j6kDJttn6wbVyMaM42Nxm,0.821,0.597,8.0,-7.32,1.0,0.0386,0.00279,0.0,0.105,0.354,108.054,171440.0,4.0
2727,Take A Step Back,"['Ski Mask The Slump God', 'XXXTENTACION']",spotify:track:3xFqnmy3DltBMTOQVL2xvS,0.642,0.816,5.0,-2.129,0.0,0.0899,0.115,0.000343,0.356,0.324,124.172,268813.0,4.0
2728,Bobby Bitch,['Bobby Shmurda'],spotify:track:6j8lAie0mdUNreql5d5Ejz,0.677,0.697,5.0,-5.63,0.0,0.0321,0.0198,0.0,0.144,0.61,134.0,182837.0,4.0
2729,MotorSport,"['Migos', 'Nicki Minaj', 'Cardi B']",spotify:track:1YZfcVLbbJwfizR5cDOp3q,0.854,0.463,5.0,-6.159,1.0,0.137,0.117,0.0,0.354,0.549,120.024,225773.0,4.0
2730,'Tis the Season,"['No Genre', 'JAQUE BEATZ']",spotify:track:6YP6M9b8YMXJ9fSsWGoOZc,0.529,0.702,0.0,-7.437,1.0,0.365,0.00941,2.07e-05,0.133,0.34,149.905,205189.0,4.0
2731,Only That Real (feat. 2 Chainz & Sage The Gemini),"['Iamsu!', '2 Chainz', 'Sage The Gemini']",spotify:track:3rTn6YFzpFCN4sxNuF4qtk,0.672,0.717,1.0,-2.714,1.0,0.034,0.341,2.4e-05,0.106,0.225,160.981,194560.0,4.0
2732,Fight Night,['Migos'],spotify:track:2n5gVJ9fzeX2SSWlLQuyS9,0.568,0.873,1.0,-5.22,1.0,0.265,0.0731,0.0,0.367,0.547,106.783,209093.0,5.0
2733,Paranoid (feat. B.o.B),"['Ty Dolla $ign', 'B.o.B']",spotify:track:1rEHQCkmLYY0CDrIborSoF,0.964,0.346,5.0,-9.309,0.0,0.53,0.035,0.0,0.108,0.562,119.958,142273.0,4.0
2734,BabyWipe,['Ski Mask The Slump God'],spotify:track:6AraU35pOYcVABLdTZ1GKT,0.854,0.569,5.0,-8.151,0.0,0.106,0.0609,0.0816,0.1,0.294,80.015,205040.0,4.0
2735,No Limit,"['G-Eazy', 'A$AP Rocky', 'Cardi B']",spotify:track:2DQ1ITjI0YoLFzuADN1ZBW,0.944,0.425,1.0,-7.146,1.0,0.326,0.046,0.0,0.11,0.124,129.996,155131.0,4.0
2736,IV. Sweatpants,['Childish Gambino'],spotify:track:0uMUvbkTdjBNZ5UuHZ5PIj,0.824,0.584,10.0,-7.098,0.0,0.221,0.0718,0.0,0.106,0.219,139.965,188600.0,4.0
2737,FM$,['New Boyz'],spotify:track:73ntBJ9o49skR3S6WaZFk1,0.645,0.717,1.0,-5.056,1.0,0.293,0.000844,0.0,0.183,0.383,137.136,229670.0,4.0
2738,Wedding Crashers,"['Aminé', 'Offset']",spotify:track:3nVDOYBJpdCkRR6r1DbZum,0.899,0.592,11.0,-7.901,0.0,0.333,0.263,0.0,0.0831,0.504,149.953,214139.0,4.0
2739,Going To Work,['P-Lo'],spotify:track:1yOeg9pIkvp5QgqqaJDdJG,0.809,0.463,11.0,-11.377,1.0,0.0396,0.256,0.085,0.109,0.364,111.98,298941.0,4.0
2740,745,['Vince Staples'],spotify:track:2fRoKHW3lzNUKIUTade8nL,0.678,0.636,1.0,-3.155,1.0,0.0782,0.0064,8.38e-06,0.177,0.0636,83.071,153267.0,4.0
2741,Ice Tray,"['Quality Control', 'Quavo', 'Lil Yachty']",spotify:track:5XqhLDOcpTeZpAzHUHYGuA,0.98,0.397,1.0,-7.31,1.0,0.351,0.212,0.00165,0.11,0.457,123.049,94159.0,4.0
2742,18,"['Kris Wu', 'Rich Brian', 'Trippie Redd', 'Baauer']",spotify:track:3wrPaT9MQxCG1LQmNvNRed,0.925,0.308,11.0,-6.562,0.0,0.338,0.125,0.0,0.0933,0.265,122.099,145507.0,4.0
2743,Sway (feat. Quavo & Lil Yachty),"['NexXthursday', 'Quavo', 'Lil Yachty']",spotify:track:4QeBlVCl2KzUEcQZiuskRd,0.621,0.678,8.0,-4.104,1.0,0.197,0.142,0.0,0.098,0.0883,88.677,176027.0,4.0
2744,Stir Fry,['Migos'],spotify:track:75OIHhnQKXSaz1vpgFeo8g,0.68,0.578,10.0,-5.804,1.0,0.04,0.331,0.0,0.135,0.341,145.038,231267.0,4.0
2745,All The Stars (with SZA),"['Kendrick Lamar', 'SZA']",spotify:track:12SJpYZEdj4kzWZ8FPFg4Y,0.832,0.794,6.0,-5.023,1.0,0.0388,0.504,0.00111,0.0901,0.91,139.982,60000.0,4.0
2746,Bartier Cardi (feat. 21 Savage),"['Cardi B', '21 Savage']",spotify:track:75FDPwaULRdYDn4StFN2rT,0.676,0.777,1.0,-3.241,0.0,0.357,0.145,0.0,0.228,0.226,173.931,188773.0,4.0
2747,Roses,['SAINt JHN'],spotify:track:4XcgXoa8qLuT7qVjMEbU0G,0.831,0.604,8.0,-6.08,1.0,0.251,0.018,0.0,0.283,0.141,142.985,214933.0,4.0
2748,Never Know,['6LACK'],spotify:track:5grpSBbXPJCyqWuxoMuKY7,0.83,0.577,4.0,-5.156,0.0,0.256,0.0178,8.15e-05,0.0436,0.63,92.973,179653.0,4.0
2749,God's Plan,['Drake'],spotify:track:6T8cJz5lAqGer9GUHGyelE,0.922,0.581,10.0,-7.495,1.0,0.27,0.00104,5.86e-05,0.105,0.595,140.022,181263.0,4.0
2750,Winter Blues,['Joyner Lucas'],spotify:track:3LHbk7L7mFQj0Wiv4dB9lR,0.729,0.656,0.0,-8.56,1.0,0.0432,0.0613,0.0,0.0874,0.492,159.968,184490.0,4.0
2751,"East Coast REMIX (feat. Busta Rhymes, A$AP Rocky, Dave East, French Montana, Rick Ross & Snoop Dogg)","['A$AP Ferg', 'Busta Rhymes', 'A$AP Rocky', 'Dave East', 'French Montana', 'Rick Ross', 'Snoop Dogg']",spotify:track:67c4kWwica8i1bxNJc1rkq,0.414,0.416,11.0,-8.024,0.0,0.0251,0.1,0.179,0.131,0.196,159.91,186268.0,4.0
2752,Fuck Love (feat. Trippie Redd),"['XXXTENTACION', 'Trippie Redd']",spotify:track:7AQim7LbvFVZJE3O8TYgf2,0.709,0.751,6.0,-3.801,1.0,0.16,0.472,4.71e-06,0.182,0.37,104.999,140527.0,4.0
2753,PICK IT UP (feat. A$AP Rocky),"['Famous Dex', 'A$AP Rocky']",spotify:track:3ncgNpxLoBQ65ABk4djDyd,0.919,0.45,1.0,-5.737,1.0,0.0688,0.135,0.0,0.0577,0.448,91.976,181710.0,4.0
2754,Stranger Things,"['Joyner Lucas', 'Chris Brown']",spotify:track:34I0nBvoE0ZXmqbKiJ5BWS,0.424,0.75,10.0,-6.502,0.0,0.17,0.3,0.0,0.136,0.365,126.01,315773.0,4.0
2755,Dark Knight Dummo (Feat. Travis Scott),"['Trippie Redd', 'Travis Scott']",spotify:track:2AKl7EDsNJXjW2n8OF3PrF,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,239836.0,4.0
2756,6 Foot 7 Foot,"['Lil Wayne', 'Cory Gunz']",spotify:track:0z5ZPs57J2KERwM1tBM2GF,0.696,0.463,7.0,-8.562,1.0,0.126,0.824,0.0,0.104,0.53,81.35,174200.0,4.0
2757,POWER,['Kanye West'],spotify:track:2gZUPNdnz5Y45eiGxpHGSc,0.685,0.593,9.0,-9.083,0.0,0.284,0.134,0.0,0.123,0.144,84.763,136187.0,4.0
2758,Ric Flair Drip (& Metro Boomin),"['Offset', 'Metro Boomin']",spotify:track:7sO5G9EABYOXQKNPNiE9NR,0.755,0.47,1.0,-8.72,1.0,0.139,0.0153,0.0,0.118,0.0604,76.056,184960.0,4.0
2759,SAD!,['XXXTENTACION'],spotify:track:35ieKju5aLWFN5UgfJ27mL,0.671,0.529,0.0,-7.226,1.0,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820.0,4.0
2760,Yuck,['Logic'],spotify:track:0D5CXSUx8GOCHSY8KWgi9h,0.749,0.674,8.0,-6.756,0.0,0.229,0.406,0.0,0.296,0.396,124.917,323120.0,4.0
2761,Wassup,"['Logic', 'Big Sean']",spotify:track:5KVciTEfXvpcFHR3RFbtJy,0.782,0.633,8.0,-4.644,1.0,0.341,0.0355,0.0,0.0615,0.749,150.055,175213.0,4.0
2762,Psycho (feat. Ty Dolla $ign),"['Post Malone', 'Ty Dolla $ign']",spotify:track:7wrDRQgHlvDnimrRHfQZxt,0.892,0.66,2.0,-8.12,1.0,0.127,0.0321,2.7e-05,0.185,0.662,155.955,220378.0,3.0
2763,66,"['Lil Yachty', 'Trippie Redd']",spotify:track:6tarvNiKnEjYMj1VZhlDqR,0.854,0.441,5.0,-9.751,1.0,0.772,0.434,0.0,0.594,0.904,143.971,197920.0,4.0
2764,Lemon (feat. Drake) - Drake Remix,"['N.E.R.D', 'Rihanna', 'Drake']",spotify:track:739vCwA3EpBSkk3uDsI2wB,0.742,0.579,0.0,-5.024,1.0,0.202,0.0381,0.0,0.0952,0.502,144.994,258475.0,4.0
2765,Moonlight,['XXXTENTACION'],spotify:track:0JP9xo3adEtGSdUEISiszL,0.663,0.555,1.0,-6.683,1.0,0.061,0.0142,0.00601,0.423,0.188,134.049,184720.0,4.0
2766,Freshman List,['NAV'],spotify:track:45pufTUf5x1CWEyXJxGdA6,0.735,0.482,8.0,-9.445,1.0,0.139,0.00623,0.0144,0.448,0.315,181.995,217933.0,4.0
2767,JAPAN,['Famous Dex'],spotify:track:4lTiuD1DwBKo4L7wqMkD7C,0.876,0.637,9.0,-5.157,1.0,0.259,0.0515,0.0,0.0677,0.553,146.958,192453.0,4.0
2768,Walk It Talk It,"['Migos', 'Drake']",spotify:track:1jr1BnpXymcf2i97mTR8tJ,0.716,0.541,1.0,-7.909,1.0,0.149,0.0021,0.0,0.115,0.387,139.978,247055.0,4.0
2769,OKRA,"['Tyler, The Creator']",spotify:track:74ZovzRxHBvCq5yIwe8boh,0.747,0.706,6.0,-7.244,1.0,0.404,0.195,0.0,0.336,0.835,176.095,185510.0,4.0
2770,I Do (feat. SZA),"['Cardi B', 'SZA']",spotify:track:1f5PNhkNgUpvDEeZfcIlO1,0.791,0.839,11.0,-4.284,1.0,0.266,0.0588,6.26e-05,0.259,0.383,170.113,202636.0,4.0
2771,KOD,['J. Cole'],spotify:track:7yotKA30dwTKNEGomV9ZsI,0.893,0.676,9.0,-4.867,0.0,0.227,0.324,0.0,0.0968,0.804,125.923,152213.0,4.0
2772,Esskeetit,['Lil Pump'],spotify:track:44KKhCyI0BGS6LvVyDqJtH,0.759,0.492,1.0,-10.338,0.0,0.12,0.736,0.00989,0.107,0.561,104.974,288640.0,4.0
2773,OTW,"['Khalid', '6LACK', 'Ty Dolla $ign']",spotify:track:6Hgh47WXVKtXN5zGOu0hjI,0.931,0.387,1.0,-9.127,1.0,0.412,0.088,0.0,0.136,0.376,125.978,179405.0,4.0
2774,Playinwitme (feat. Kehlani),"['KYLE', 'Kehlani']",spotify:track:43cFjTTCD9Cni4aSL0sORz,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,312820.0,4.0
2775,Zack And Codeine,['Post Malone'],spotify:track:5lZZmityu9TAjNvSY6GLhR,0.817,0.646,4.0,-5.12,0.0,0.249,0.0152,0.0,0.125,0.835,162.898,213080.0,4.0
2776,One Time Comin',['YG'],spotify:track:2jHeJnT7VFSyW5EzLQZPcV,0.879,0.647,10.0,-4.566,0.0,0.0659,0.203,0.00185,0.335,0.212,131.026,157557.0,4.0
2777,Outlet,['Desiigner'],spotify:track:7rwJL9MG4KhKDuVmq1kT24,0.85,0.787,8.0,-4.134,0.0,0.338,0.313,0.0,0.194,0.7,87.983,279867.0,4.0
2778,Deserve (feat. Travis Scott),"['Kris Wu', 'Travis Scott']",spotify:track:5075foWfaIxJZr3hGMopXO,0.833,0.549,5.0,-7.215,0.0,0.22,0.002,2.37e-06,0.133,0.328,175.954,262328.0,4.0
2779,This Is America,['Childish Gambino'],spotify:track:0b9oOr2ZgvyQu88wzixux9,0.939,0.551,1.0,-9.126,1.0,0.291,0.0311,0.0,0.192,0.42,118.552,337941.0,4.0
2780,Right Now,"['Lil Baby', 'Young Thug']",spotify:track:6ghs7wcpS23FOsDpR8D2MW,0.901,0.522,2.0,-8.304,1.0,0.33,0.0114,0.0,0.259,0.329,104.053,127947.0,4.0
2781,Spoil My Night (feat. Swae Lee),"['Post Malone', 'Swae Lee']",spotify:track:5VuxWXbt7XENQCtE9TzpTv,0.876,0.786,10.0,-4.884,0.0,0.306,0.0627,0.0,0.127,0.575,153.068,244679.0,4.0
2782,Bubblin,['Anderson .Paak'],spotify:track:6BvtitRX5lQC87YlA6rq0n,0.754,0.342,10.0,-8.677,0.0,0.0991,0.073,0.0,0.193,0.423,128.981,121347.0,4.0
2783,Yes Indeed,"['Lil Baby', 'Drake']",spotify:track:1wsf1YFQSYND45y0GzJmf7,0.889,0.385,11.0,-11.767,0.0,0.165,0.00544,0.0,0.274,0.235,125.995,202533.0,4.0
2784,Praise The Lord (Da Shine) (feat. Skepta),"['A$AP Rocky', 'Skepta']",spotify:track:7ycWLEP1GsNjVvcjawXz3z,0.68,0.732,10.0,-7.108,0.0,0.27,0.235,0.000174,0.0705,0.864,75.422,230408.0,4.0
2785,OOPS,"['Lil Yachty', '2 Chainz', 'K$upreme']",spotify:track:6M1qLtDxfOeBSbM5HnIo54,0.757,0.868,7.0,-3.627,1.0,0.157,0.154,0.00251,0.332,0.665,129.978,156695.0,4.0
2786,44 More,['Logic'],spotify:track:3e7Y6sfFlIdBMJhX7wpqVO,0.706,0.785,2.0,-6.475,1.0,0.271,0.0131,0.0,0.164,0.377,160.033,264853.0,4.0
2787,"King's Dead (with Kendrick Lamar, Future & James Blake)","['Jay Rock', 'Kendrick Lamar', 'Future', 'James Blake']",spotify:track:08qFPu7ksp9KrQJJPuFXxu,0.769,0.777,8.0,-6.066,0.0,0.312,0.072,0.0,0.11,0.696,91.022,369240.0,4.0
2788,I'm Upset,['Drake'],spotify:track:54oMZ3blwWwuPN4wEoG5mk,0.902,0.819,1.0,-3.321,1.0,0.316,0.041,0.0,0.106,0.745,89.0,186872.0,4.0
2789,Passionfruit,['Drake'],spotify:track:7hDc8b7IXETo14hHIHdnhd,0.805,0.833,1.0,-6.73,0.0,0.12,0.0859,0.0,0.0578,0.703,109.076,268400.0,4.0
2790,What Would Meek Do?,"['Pusha T', 'Kanye West']",spotify:track:5vnuJ8EopkP5dHukpOmT3L,0.817,0.539,6.0,-6.349,0.0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368.0,4.0
2791,Drop,['Smokepurpp'],spotify:track:32fTm1Ha0lX4bf1H4C9t1Q,0.9,0.316,9.0,-8.797,1.0,0.332,0.684,0.0771,0.0853,0.844,129.914,107077.0,4.0
2792,All Mine,['Kanye West'],spotify:track:3qnoOm4fwZPBS116f5hpgF,0.856,0.694,2.0,-4.393,1.0,0.169,0.371,0.0,0.109,0.489,122.08,324189.0,4.0
2793,Santeria,['Pusha T'],spotify:track:4LKSaRoKNnlpKXTT663BrT,0.856,0.82,1.0,-3.813,1.0,0.0962,0.0226,0.0,0.168,0.723,146.009,170959.0,4.0
2794,Better Now,['Post Malone'],spotify:track:7dt6x5M1jzdTEt8oCbisTK,0.732,0.586,1.0,-7.868,1.0,0.232,0.0402,2.66e-06,0.121,0.73,76.48,169920.0,4.0
2795,Fruit Salad,['Tierra Whack'],spotify:track:0IUWe1lprVhev4JwubwNMF,0.921,0.607,1.0,-7.397,1.0,0.209,0.525,1.12e-06,0.123,0.753,140.071,197079.0,4.0
2796,Yikes,['Kanye West'],spotify:track:2r4JRwcbIeuAzWjH4YXlLs,0.87,0.35,1.0,-6.082,1.0,0.277,0.00661,0.000483,0.108,0.175,74.963,168347.0,4.0
2797,Drive Itself,"['Future', 'Lil Wayne']",spotify:track:6nBhx61WBKhCqmF9yWQhpo,0.863,0.451,1.0,-5.968,1.0,0.0647,0.0708,0.00028,0.217,0.0422,126.98,181427.0,4.0
2798,The Light,"['Jeremih', 'Ty Dolla $ign']",spotify:track:3oCJJksC12uFxkt3RQ7rbV,0.874,0.58,9.0,-6.164,1.0,0.215,0.0021,0.0,0.11,0.434,85.5,213358.0,4.0
2799,Look Alive (feat. Drake),"['BlocBoy JB', 'Drake']",spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,0.944,0.444,1.0,-10.367,1.0,0.922,0.0992,0.0,0.17,0.312,129.888,134428.0,4.0
2800,TAlk tO Me (with Rich The Kid),"['Tory Lanez', 'Rich The Kid']",spotify:track:49NhxprbG9oTtMunQCSXxA,0.884,0.559,0.0,-7.442,1.0,0.12,0.0236,0.0,0.101,0.342,97.994,232959.0,4.0
2801,NUMB,['XXXTENTACION'],spotify:track:01TnVDiet1DFTsyWKUKovl,0.736,0.67,10.0,-6.702,1.0,0.311,0.186,0.0,0.114,0.845,130.032,169999.0,4.0
2802,Fire,['KIDS SEE GHOSTS'],spotify:track:7oHkit3F3vimtsBbnZkU0G,0.899,0.504,8.0,-6.758,0.0,0.5,0.826,0.0,0.052,0.537,129.89,207813.0,4.0
2803,5 shots,['gianni & kyle'],spotify:track:303CrEPtIMzTxCOfdZBEzL,0.858,0.168,10.0,-13.078,0.0,0.862,0.0345,0.0,0.0848,0.185,145.053,151671.0,4.0
2804,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)","['A$AP Rocky', 'Moby', 'T.I.', 'Kid Cudi']",spotify:track:0TfK37EQXM15a5SEbgw179,0.753,0.498,2.0,-5.61,1.0,0.0504,0.551,0.0,0.0706,0.927,89.95,158053.0,4.0
2805,Lucid Dreams,['Juice WRLD'],spotify:track:0X8DcetL926BYiPJYstJTc,0.657,0.613,1.0,-7.308,1.0,0.465,0.123,0.0,0.314,0.485,174.027,165517.0,4.0
2806,Hurry,"['Teyana Taylor', 'Kanye West']",spotify:track:6NqbN00vLmWfrQSx2wjD4z,0.729,0.625,4.0,-5.266,1.0,0.0315,0.194,0.00986,0.248,0.261,146.034,183907.0,4.0
2807,Survival,['Drake'],spotify:track:71SEHJPt1iDwGkBhUOAXDP,0.817,0.517,1.0,-9.613,1.0,0.113,0.23,0.0,0.315,0.541,145.026,177188.0,4.0
2808,Elevate,['Drake'],spotify:track:4uloft7ZE54WflsuqFmjC7,0.939,0.463,11.0,-9.152,0.0,0.421,0.0723,0.0,0.0826,0.642,137.051,123429.0,1.0
2809,All Girls Are The Same,['Juice WRLD'],spotify:track:3H2JThgdBxezwj1wwafQS8,0.861,0.637,8.0,-5.692,0.0,0.24,0.0515,3.35e-06,0.0967,0.474,98.044,228654.0,4.0
2810,OSOM (feat. J. Cole),"['Jay Rock', 'J. Cole']",spotify:track:2m3G4SXZiJEOvqf3s0s9d8,0.712,0.757,1.0,-4.984,0.0,0.114,0.00965,0.1,0.419,0.657,163.028,140458.0,4.0
2811,Wow Freestyle (feat. Kendrick Lamar),"['Jay Rock', 'Kendrick Lamar']",spotify:track:12rbR0qoFJQ7rRGzgXrzHy,0.621,0.779,1.0,-4.354,1.0,0.406,0.0454,0.0,0.0479,0.432,90.722,237297.0,3.0
2812,DOH DOH (feat. Young Scooter),"['Future', 'Young Scooter']",spotify:track:0U06Yqe0nkkJlptlr7O4uO,0.743,0.87,1.0,-2.188,1.0,0.212,0.0595,0.0,0.299,0.884,99.079,194184.0,4.0
2813,I Got Me Some Bapes,['Soulja Boy'],spotify:track:0mLq0GyQ0Noq5vbO90H0MT,0.82,0.691,6.0,-6.646,0.0,0.0723,0.0115,0.0,0.344,0.683,142.027,135739.0,4.0
